ID. Productor:;Provincia;Localidad;CUENCA LECHERA;SUPERFICIE TOTAL TAMBO (Has);Sup VACA ADULTA (Has);Carga VT;Kg MS concentrado / VO / dia - promedio anual;% VACA ORD.;VO;VS;VT;LCG;PV VO;CMS;Sistema alimentación;CMS pastura;lts;kg/d;%GB;%PC;% PV;LCGP;Terneras recría (< 12 meses);Terneros/as guachera;total rianza+recria;Sup a trabajar;RECRIA         (Has);"AGRICULTURA
(Has)";"GANADERIA
(Has)";SUPERFICIE TOTAL TAMBO (Has);Energia CO2 TNCO2eq / año;Fertilizante N2O TNCO2eq / año;Animales CH4 TNCO2eq / año;Animales N2O TNCO2eq / año;Fertilizante (propio) N2O TNCO2eq / año;Residuos (propio) N2O TNCO2eq / año;Total materias primas NCO2eq / año;Fermentacion entérica Recría TNCO2eq / año;CH4 extretas recria TNCO2eq / año;N2O excretas recría TNCO2eq / año;Fermentación enterica tambo CH4 TNCO2eq / año;Manejo Estiercol CH4 TNCO2eq / año;Manejo estiercol N2O TNCO2eq / año;Estiercol en pastura CH4 TNCO2eq / año;Estiercol en pasturas N2O TNCO2eq / año;Energía CO2 TNCO2eq / año;Total Tambo TNCO2eq / año;Total establecimiento TNCO2eq / año;Total establecimeinto KgCO2eq / Lt;Factor de allocacion %;Total leche KgCO2eq / Lt
1;Santa Fe;Rafaela;CENTRAL SANTA FE;540;162;1.52;4;0.8333333333;205;41;246;16.56;650;18.42;PMR;3.86;17.38;17.94;3.49;3.14;2.99;16.37;81;54;135;262;100;130;145;540;11.09;16.15;238.36;97.31;0;66;92.13;238.33;0.02;97.31;740.27;50.58;1.11;4.86;20.36;64.89;882.06;974.19;0.8;0.82;0.65
2;Santa Fe;La Criolla;CENTRAL SANTA FE;492;310;0.65;3;0.8;160;40;200;25.59;650;21.75;PMR;11.47;26.82;27.68;3.5;3.22;3.06;25.46;25;60;85;354;44;0;132;492;1.85;2.69;162.31;50.81;101.78;163;142.08;161.99;0.32;50.81;681.58;82.99;9.09;4.4;18.65;35.76;832.48;974.57;0.66;0.91;0.59
3;Santa Fe;Funes;SUR SANTA FE;175;85;0.94;7.5;0.8490566038;68;12;80;13.17;650;17.18;sep;1.45;13.66;14.1;3.56;3.26;3.09;13.11;15;8;23;112;27;30;0;175;23.71;34.54;139.81;38.46;0;42;68.37;139.29;0.53;38.46;210.25;16.36;1.6;2.03;5.93;10.12;246.3;314.66;0.97;0.93;0.9
4;Santa Fe;Colonia Fidela;CENTRAL SANTA FE;195;130;1.92;6.6;0.68;170;80;250;11.15;650;16.43;sep;7.51;11.96;12.34;3.36;3.02;2.87;10.96;38;34;72;160;30;0;30;195;11.22;20.25;109.02;49.28;0;55;64.24;109.01;0.01;49.28;541.1;11;2.81;3.18;39.88;32.78;630.75;695;1.02;0.86;0.87
5;Santa Fe;Colonia Bossi;CENTRAL SANTA FE;236;233;1.04;5.1;0.9504132231;230;12;242;18.09;650;18.99;PMR;10.53;19.03;19.64;3.47;3.18;3.02;17.94;0;19;19;233;0;0;0;236;8.3;5.18;96.75;12.45;12.22;125;63.19;96.05;0.7;12.45;757.74;23.19;2.17;5.57;5.98;37.49;832.13;895.32;0.59;0.91;0.54
6;Santa Fe;SANTO DOMINGO;CENTRAL SANTA FE;154;120;0.82;3.4;0.8730964467;86;13;99;17.05;650;18.6;sep;8.45;16.83;17.37;3.88;3.24;3.07;16.8;15;36;51;150;30;0;0;154;2.47;4.87;69.29;22.11;14.97;57;39.88;69.13;0.15;22.11;289.38;7.77;0.97;1.84;6.46;17.59;324.02;363.9;0.69;0.86;0.59
7;Santa Fe;Carlos Pellegrini;CENTRAL SANTA FE;204.5;180;1.55;7.6;0.7956989247;222;57;279;21.52;650;20.25;TMR;7.78;22.09;22.8;3.63;3.21;3.05;21.31;46;107;153;188;8;0;0;204.5;17.85;32.47;164.79;53.8;25.29;82;132.26;164.7;0.1;53.8;819.15;117.54;1.47;0.53;28;56.64;1023.34;1155.59;0.67;0.88;0.59
8;Santa Fe;Ceres;CENTRAL SANTA FE;250;80;1.52;3.5;0.6008230453;73;49;122;9.4;650;15.79;sep;10.33;9.27;9.57;3.88;3.14;2.98;9.19;33;44;77;129;49;0;119;250;9.12;17.21;132.82;60;0;39;43.71;132.8;0.01;60;243.16;18.5;2.52;1.71;23.35;17.39;306.63;350.34;1.43;0.87;1.25
9;Santa Fe;Santa Maria Centro (límite Pilar);CENTRAL SANTA FE;155;106;1.2;5.4;0.8267716535;105;22;127;12.7;650;17;PMR;5.5;12.98;13.4;3.65;3.08;2.92;12.43;40;66;106;108;1.5;40;0;155;8.35;27.05;151.79;38.34;0.5;53;63.79;151.52;0.27;38.34;327.28;33.29;8.88;2.04;0.13;27.89;399.51;463.29;0.97;0.7;0.68
10;Santa Fe;Santa Maria N y San Gerónimo;CENTRAL SANTA FE;104;102;1.38;3.8;0.8113879004;114;27;141;19.46;650;19.49;PMR;10.63;19.89;20.52;3.65;3.22;3.06;19.26;0;57;57;102;0;0;0;104;6.8;9.9;101.96;21.01;0.75;52;35.95;101.39;0.57;21.01;418.25;8.95;1.39;3.17;13.02;18.5;463.29;499.24;0.62;0.86;0.54
11;Santa Fe;Colonia Aldao;CENTRAL SANTA FE;192;110;2.24;6;0.7967479675;196;50;246;13.75;650;17.39;sep;1.65;14;14.45;3.68;3.27;3.1;13.66;10;38;48;150;40;30;0;192;14.03;27.67;47.08;20.42;2.29;55;90.54;47.07;0.01;20.42;641.78;10.67;2.05;4.36;25.12;46.55;730.53;821.08;0.84;0.94;0.79
12;Santa Fe;ABC;CENTRAL SANTA FE;68;40;1.45;6;0.775862069;45;13;58;8.94;650;15.62;sep;8.05;9.34;9.64;3.51;3.2;3.04;8.86;17;21;38;47;7;0;20;68;16.64;26.65;57.01;23.86;5.19;28;57.46;57.01;0.01;23.86;125.23;1.3;0.42;0.78;6.28;8.98;142.99;200.45;1.38;0.87;1.19
13;Santa Fe;Susana;CENTRAL SANTA FE;129;89;2.19;7.3;0.8256410256;161;34;195;16.04;650;18.23;PMR;4.95;16.68;17.22;3.55;3.17;3.01;15.87;14;23;37;129;40;0;0;129;10.41;13.95;84.61;35.64;6.87;44;45.45;84.61;0.01;35.64;560.94;24.71;2.95;3.77;16.32;14.22;622.9;668.35;0.72;0.93;0.67
